Date,Name,Expense,Amount
2023-04-26,Salary Deposit,Income,592.04
2024-04-05,Salary Deposit,Income,397.03
2023-07-23,Salary Deposit,Income,159.08
2024-10-30,Water Utility,Expense,391.51
2023-05-24,Salary Deposit,Income,527.63
2024-04-27,Spotify,Expense,334.18
2024-01-22,Kroger,Expense,219.65
2024-10-11,Salary Deposit,Income,752.41
2024-09-18,Misc Income,Income,185.38
2022-05-14,Salary Deposit,Income,215.65
2023-02-12,Salary Deposit,Income,769.93
2024-09-25,Gym Membership,Expense,291.88
2022-07-01,Salary Deposit,Income,562.78
2022-05-01,Salary Deposit,Income,121.2
2022-01-13,Salary Deposit,Income,930.3
2023-12-09,Water Utility,Expense,539.39
2022-07-01,Salary Deposit,Income,53.64
2023-09-24,Spotify,Expense,868.62
2024-06-08,Target,Expense,676.77
2022-08-05,Netflix,Expense,565.28
2024-05-28,Salary Deposit,Income,179.94
2024-12-09,Salary Deposit,Income,786.97
2022-11-05,Apple Store,Expense,949.0
2023-10-22,Uber,Expense,727.61
2022-01-29,Netflix,Expense,727.32
2023-01-21,Salary Deposit,Income,134.98
2023-08-26,Misc Income,Income,832.06
2024-01-06,Water Utility,Expense,888.14
2022-02-14,Starbucks,Expense,411.42
2023-06-18,Salary Deposit,Income,665.9
2024-05-31,Salary Deposit,Income,86.08
2022-09-22,Salary Deposit,Income,82.32
2023-12-14,Water Utility,Expense,832.15
2022-10-13,Salary Deposit,Income,757.45
2022-08-19,Salary Deposit,Income,983.96
2022-06-23,Home Depot,Expense,50.25
2023-04-01,Misc Income,Income,407.51
2024-11-25,Misc Income,Income,416.77
2023-03-25,Salary Deposit,Income,593.77
2024-10-05,Misc Income,Income,66.67
2024-01-20,Misc Income,Income,40.14
2023-04-26,Salary Deposit,Income,377.28
2023-11-22,Internet Provider,Expense,58.44
2024-01-13,Walgreens,Expense,46.2
2022-05-31,Costco,Expense,579.48
2023-02-20,Uber,Expense,691.75
2024-03-28,Apple Store,Expense,223.26
2023-07-14,Water Utility,Expense,95.15
2024-09-18,Salary Deposit,Income,180.62
2024-03-31,Kroger,Expense,698.39
2024-01-29,Amazon,Expense,864.94
2022-03-21,Salary Deposit,Income,196.5
2023-12-09,Phone Company,Expense,109.65
2024-12-19,Amazon,Expense,140.45
2023-05-06,Uber,Expense,274.34
2024-01-24,Salary Deposit,Income,533.01
2024-09-17,Misc Income,Income,682.76
2024-04-16,Best Buy,Expense,553.92
2024-06-26,Gym Membership,Expense,955.13
2023-07-17,Salary Deposit,Income,119.88
2023-06-06,Salary Deposit,Income,759.02
2022-05-28,Salary Deposit,Income,945.8
2023-11-21,Salary Deposit,Income,782.84
2024-11-12,Apple Store,Expense,511.92
2023-08-26,Water Utility,Expense,326.01
2024-08-17,Electric Company,Expense,979.94
2024-02-11,Salary Deposit,Income,402.97
2022-06-03,Amazon,Expense,946.21
2023-10-15,Starbucks,Expense,337.1
2022-11-02,Salary Deposit,Income,146.37
2024-02-21,Salary Deposit,Income,446.24
2022-12-20,Walmart,Expense,651.99
2024-11-03,Amazon,Expense,730.71
2022-08-15,Misc Income,Income,485.09
2024-10-21,Target,Expense,621.53
2023-10-02,Walgreens,Expense,22.25
2022-03-03,Home Depot,Expense,124.46
2023-12-27,Uber,Expense,133.7
2022-04-08,Spotify,Expense,837.46
2023-12-19,Spotify,Expense,859.4
2024-01-05,Walgreens,Expense,20.56
2022-04-16,CVS Pharmacy,Expense,234.54
2024-01-02,Salary Deposit,Income,894.78
2023-03-22,Rent Payment,Expense,713.06
2022-01-08,CVS Pharmacy,Expense,470.59
2022-06-17,Salary Deposit,Income,635.69
2022-08-27,Home Depot,Expense,788.9
2023-11-29,Amazon,Expense,193.2
2023-06-04,Salary Deposit,Income,302.11
2022-09-23,Uber,Expense,84.56
2024-06-23,McDonald's,Expense,593.29
2024-08-18,Salary Deposit,Income,714.79
2022-02-03,Salary Deposit,Income,336.32
2022-02-02,Salary Deposit,Income,607.07
2022-11-23,Walmart,Expense,161.13
2023-06-30,Car Insurance,Expense,722.2
2022-01-10,Salary Deposit,Income,488.13
2023-09-11,McDonald's,Expense,42.54
2024-04-05,Salary Deposit,Income,399.51
2023-09-18,Salary Deposit,Income,6.16
2024-02-08,Rent Payment,Expense,172.62
2023-07-13,Salary Deposit,Income,274.48
2023-12-17,Netflix,Expense,886.08
2022-06-02,Health Insurance,Expense,720.59
2022-10-13,Amazon,Expense,504.64
2024-12-05,Salary Deposit,Income,262.69
2022-03-22,Health Insurance,Expense,399.77
2023-01-12,Shell Gas,Expense,359.45
2024-09-29,Misc Income,Income,45.37
2022-01-31,Rent Payment,Expense,313.76
2022-05-28,Shell Gas,Expense,253.93
2024-09-28,Apple Store,Expense,228.26
2022-02-07,Kroger,Expense,171.21
2024-04-03,Best Buy,Expense,666.61
2022-04-15,Internet Provider,Expense,695.63
2023-10-25,Water Utility,Expense,596.89
2022-11-06,Kroger,Expense,405.57
2023-12-08,Netflix,Expense,11.13
2024-11-23,Salary Deposit,Income,1.18
2023-04-06,Salary Deposit,Income,507.06
2024-03-04,Uber,Expense,491.89
2023-07-09,Salary Deposit,Income,480.45
2023-07-05,Costco,Expense,99.9
2023-01-25,McDonald's,Expense,922.41
2024-01-27,Salary Deposit,Income,787.11
2023-02-05,Water Utility,Expense,745.99
2023-01-21,Kroger,Expense,382.75
2023-08-02,Phone Company,Expense,568.3
2022-04-05,Salary Deposit,Income,373.66
2022-11-12,Electric Company,Expense,949.72
2023-10-28,Salary Deposit,Income,256.49
2022-12-20,Costco,Expense,865.96
2022-09-12,Electric Company,Expense,651.87
2022-07-13,Phone Company,Expense,548.44
2022-01-03,Misc Income,Income,403.98
2022-05-14,Salary Deposit,Income,541.45
2022-01-31,Water Utility,Expense,845.79
2023-02-21,Shell Gas,Expense,400.95
2024-10-09,Water Utility,Expense,69.29
2024-10-21,Water Utility,Expense,188.11
2023-06-30,Health Insurance,Expense,334.28
2022-09-26,Water Utility,Expense,104.07
2024-01-06,Rent Payment,Expense,999.36
2024-06-29,Internet Provider,Expense,329.1
2024-10-10,Best Buy,Expense,927.06
2023-01-09,Rent Payment,Expense,296.52
2023-07-08,Internet Provider,Expense,145.34
2022-06-01,Salary Deposit,Income,514.93
2023-02-14,Salary Deposit,Income,818.95
2022-05-20,Salary Deposit,Income,540.61
2022-08-04,Phone Company,Expense,105.15
2024-11-15,Shell Gas,Expense,615.25
2024-07-17,Uber,Expense,214.17
2023-09-11,Walgreens,Expense,155.19
